Compound,Melting temp. (K)
Al,933.473
Al2O3,2327.15
Al2S3,1373.15
Al2Te3,1168.15
Al4C3,2373.15
AlBr3,370.65
AlCl3,465.75
AlI3,461.43
AlN,3273.15
AlP,2823.15
AlSb,1338.15
As2O3,587.15
As2O5,1003.15
As2S3,585.15
As2Se3,650.15
As2Te3,648.15
As4S4,580.15
AsBr3,304.25
AsI3,414.15
Ba,1000.15
BaCl2,1234.15
BaF2,1641.15
BaH2,1473.15
BaI2,984.15
BaO,2246.15
BaSe,2053.15
BaSi2,1453.15
Be2C,2400.15
Be3N2,2473.15
BeBr2,781.15
BeF2,825.15
BeI2,753.15
BeO,2851.15
Bi,544.556
Bi2O3,1098.15
Bi2O4,578.15
Bi2Te3,853.15
BiBr3,492.15
BiCl3,507.15
BiF3,922.15
BiF5,424.55
BiI3,681.75
Ca,1115.15
Ca3N2,1468.15
CaC2,2573.15
CaCl2,1048.15
CaF2,1691.15
CaH2,1273.15
CaO,2886.15
CaS,2797.15
CaSi,1597.15
CaSi2,1313.15
Cs,301.65
Cs2O,768.15
Cs2S,793.15
CsBr,909.15
CsF,976.15
CsH,801.15
CsI,905.15
CsO2,705.15
Ga,302.9146
Ga2O3,2080.15
Ga2S3,1363.15
Ga2Se3,1210.15
GaAs,1511.15
GaBr3,396.15
GaCl2,445.55
GaCl3,351.05
GaI3,485.15
GaP,1730.15
GaS,1238.15
GaSb,985.15
GaSe,1233.15
GaTe,1097.15
GeBr2,395.15
GeBr4,299.25
GeF2,383.15
GeI2,701.15
GeI4,419.15
GeO2,1389.15
GeS,931.15
GeS2,1113.15
GeTe,997.15
I2O4,403.15
IBr,313.15
ICl,300.53
In,429.75
In2O3,2185.15
In2S3,1323.15
In2Se3,933.15
In2Te3,940.15
InAs,1215.15
InBr3,693.15
InCl,498.15
InF3,1445.15
InI,637.55
InI3,480.15
InN,1373.15
InP,1335.15
InS,965.15
InSb,797.15
K,336.65
K2O2,818.15
K2S,1221.15
K2Se,1073.15
KBr,1007.15
KCl,1044.15
KF,1131.15
KH,892.15
KI,954.15
Li,453.65
Li2O,1711.15
Li2S,1645.15
Li3N,1086.15
LiBr,823.15
LiCl,883.15
LiF,1121.35
LiH,965.15
LiI,742.15
Mg,923.15
Mg2Ge,1390.15
Mg2Sn,1044.15
Mg3As2,1473.15
Mg3Sb2,1518.15
MgBr2,984.15
MgCl2,987.15
MgF2,1536.15
MgI2,907.15
MgO,3098.15
Na,370.944
Na2O,1407.15
Na2O2,948.15
Na2S,1445.15
NaBr,1020.15
NaF,1269.15
NaH,911.15
NaI,934.15
NaO2,825.15
P,883.15
P2I4,398.65
P2O5,835.15
P2S3,563.15
P2S5,558.15
P4S3,446.15
P4S7,581.15
Pb,600.612
Pb3O4,1103.15
PbBr2,644.15
PbI2,683.15
PbS,1386.15
PbSe,1351.15
PbTe,1197.15
PI3,334.35
Rb,312.45
Rb2O,778.15
Rb2O2,843.15
Rb2S,698.15
Rb2Se,1006.15
RbBr,965.15
RbCl,997.15
RbF,1068.15
RbH,858.15
RbI,929.15
RbN3,590.15
RbO2,813.15
S,388.36
S4N4,451.35
Sb,903.778
Sb2O3,928.15
Sb2S3,823.15
Sb2Se3,884.15
Sb2Te3,893.15
SbBr3,370.15
SbCl3,346.55
SbF3,560.15
SbI3,444.15
Se,493.95
SeBr4,396.15
SeO2,633.15
SeO3,391.15
Si,1687.15
Si2I6,523.15
Si3N4,2173.15
SiC,3103.15
SiI4,393.65
SiS2,1363.15
Sn,505.078
Sn4P3,823.15
SnBr2,505.15
SnCl2,520.15
SnF2,488.15
SnI4,675.15
SnO,1250.15
SnO2,1903.15
SnP,813.15
SnS,1154.15
SnSe,1134.15
SnSe2,923.15
SnTe,1079.15
SO3,335.35
Sr,1050.15
SrBr2,930.15
SrCl2,1147.15
SrF2,1750.15
SrI2,811.15
SrO,2804.15
SrS,2499.15
SrSi2,1373.15
Te,722.66
TeCl4,497.15
TeF4,402.15
TeI4,553.15
TeO2,1006.15
TeO3,703.15
Tl,577.15
Tl2O,852.15
Tl2O3,1107.15
Tl2S,730.15
TlBr,733.15
TlCl,704.15
TlF,599.15
TlI,714.85
TlSe,603.15
