Name,Tg (K)
poly(ethylene),195
poly(ethylethylene),228
poly(butylethylene),220
poly(cyclopentylethylene),348
poly(cyclohexylethylene),363
poly(acrylic acid),379
poly(methyl acrylate),281
poly(ethyl acrylate),251
poly(sec-butyl acrylate),253
poly(vinyl alcohol),358
poly(vinyl chloride),348
poly(acrylonitrile),378
poly(vinyl acetate),301
poly(styrene),373
poly(3-chlorostyrene),363
poly(4-chlorostyrene),389
poly(2-methylstyrene),409
poly(3-methylstyrene),374
poly(4-methylstyrene),374
poly(4-fluorostyrene),379
poly(1-pentene),220
poly(ethoxyethylene),254
poly(tert-butyl acrylate),315
poly(n-butyl acrylate),219
poly(vinyl n-hexyl ether),209
"poly(1,1-dimethylethylene)",199
"poly(1,1-dichloroethylene)",256
"poly(1,1-difluoroethylene)",233
poly(alpha-methylstyrene),409
poly(methyl methylacrylate),378
poly(ethyl methylacrylate),324
poly(isopropyl methylacrylate),327
poly(isopropyl alpha-chloroacrylate),363
poly(2-chloroethyl methylacrylate),365
poly(tert-butyl methylacrylate),380
poly(phenyl methylacrylate),393
poly(chlorotrifluoroethylene),373
poly(oxymethylene),218
poly(oxyethylene),206
poly(oxytrimethylene),195
poly(oxytetramethylene),190
poly(ethylene terephthalate),345
poly(vinyl n-octyl ether),194
poly(vinyl n-decyl ether),197
poly(oxyoctamethylene),203
poly(oxyhexamethylene),204
poly(vinyl 2-ethylhexyl ether),207
poly(n-octyl methylacrylate),253
poly(n-heptyl acrylate),213
poly(n-nonyl acrylate),216
poly(1-heptene),220
poly(vinyl n-butyl ether),221
poly(vinyl sec-butyl ether),253
poly(pentafluoroethyl ethylene),314
"poly(2,3,3,3-tetrafluoropropylene)",315
"poly(3,3-dimethylbutyl methacrylate)",318
poly(vinyl trifluoroacetate),319
poly(3-methyl-1-butene),323
poly(n-butyl alpha-chloroacrylate),330
poly(sec-butyl methacrylate),330
poly(heptafluoropropyl ethylene),331
poly(3-pentyl acrylate),257
poly(5-methyl-1-hexene),259
"poly(oxy-2,2-dichloromethyltrimethylene)",265
poly(n-hexyl methacrylate),268
poly(vinyl isopropyl ether),270
poly(p-n-butyl styrene),279
poly(n-butyl methacrylate),293
poly(2-methoxyethyl methacrylate),293
"poly(3,3,3-trifluoropropylene)",300
poly(4-methyl-1-pentene),302
poly(vinyl chloroacetate),304
poly(n-propyl methacrylate),306
poly(3-cyclopentyl-1-propene),333
poly(3-phenyl-1-propene),333
poly(n-propyl alpha-chloroacrylate),344
poly(sec-butyl alpha-chloroacrylate),347
poly(3-cyclohexyl-1-propene),348
poly(vinyl acetal),355
poly(vinyl formal),378
poly(3-hexoxypropylene oxide),188
poly(3-butoxypropylene oxide),194
"poly(2-n-propyl-1,4-butadiene)",196
"poly(2-ethyl-1,4-butadiene)",197
poly(isoprene),203
poly(propylene oxide),206
poly(3-methoxypropylene oxide),211
poly(pentadiene),213
poly(epsilon-caprolactone),213
poly(dodecyl methacrylate),218
"poly(2-isopropyl-1,4-butadiene)",221
poly(chloroprene),225
poly(propylene sulfide),226
poly(2-octyl acrylate),228
poly(2-heptyl acrylate),235
poly(6-methyl-1-heptene),239
"poly(2-bromo-1,4-butadiene)",241
poly(isobutyl acrylate),249
poly(alpha-vinyl napthalene),432
poly(beta-vinyl napthalene),424
poly(3-phenoxypropylene oxide),315
"poly(alpha,beta,beta-trifluoro styrene)",475
poly(methyl alpha-cyano acrylate),433
poly(o-hydroxymethyl styrene),433
poly(vinyl methyl sulfide),272
poly(vinyl butyrate),278
poly(p-n-hexoxymethyl styrene),278
poly(vinyl propionate),283
poly(2-ethylbutyl methacrylate),284
poly(o-n-octoxy styrene),286
"poly(2-tert-butyl-1,4-butadiene)",293
poly(p-n-propoxymethyl styrene),295
poly(vinyl formate),304
poly(neopentyl methacrylate),306
poly(12-aminododecanoic acid),310
poly(4-cyclohexyl-1-butene),313
poly(11-aminoundecanoic acid),315
poly(10-aminodecanoic acid),316
poly(p-n-butoxy styrene),320
poly(isobutyl methacrylate),321
